"AVGDAYSTOISSUE","CANCELTYPE","NUMBERISSUEDINTARGETDAYS","TOTALNUMBER","TOTALVALUE","YEAR"
"7","","1566","1783","99142935.0600","2012"
"5","","1782","1997","102136209.0000","2013"
"7","","1902","2252","205279521.1500","2014"
"7","","1968","2354","129151855.9900","2015"
"7","","1932","2338","166129423.1600","2016"
"7","","2003","2461","173423422.0600","2017"
"17","","1897","2351","211933232.0000","2018"
"14","","1877","2414","136293705.0400","2019"
"33","","461","2060","219382719.6400","2020"
"33","","519","2583","242644540.3200","2021"
"32","","131","276","55135410.0000","2022"
