"AVGDAYSTOISSUE","CANCELTYPE","NUMBERISSUEDINTARGETDAYS","TOTALNUMBER","TOTALVALUE","YEAR"
"35","","89","424","5553366.9900","2012"
"30","","80","348","4423549.0000","2013"
"36","","81","398","6569208.0000","2014"
"32","","94","526","5090889.0000","2015"
"44","","92","475","4748847.8100","2016"
"35","","84","596","9635290.0000","2017"
"55","","98","619","6738916.5000","2018"
"73","","104","942","5106651.0000","2019"
"118","","76","696","4339030.0000","2020"
"63","","88","479","8085616.0000","2021"
"70","","11","54","569910.0000","2022"
