"AVGDAYSTOISSUE","CANCELTYPE","NUMBERISSUEDINTARGETDAYS","TOTALNUMBER","TOTALVALUE","YEAR"
"36","","101","706","600000.0000","2012"
"41","","132","662","0.0000","2013"
"42","","166","710","0.0000","2014"
"59","","167","501","287000.0000","2015"
"48","","128","336","35000.0000","2016"
"37","","201","423","0.0000","2017"
"18","","251","455","0.0000","2018"
"28","","214","435","0.0000","2019"
"76","","219","471","110000.0000","2020"
"19","","250","370","182000.0000","2021"
"19","","23","27","0.0000","2022"
