Record_No,Handle,ParcelID,Address,Add_Suffix,Direction,Name,Type,Class,Acquisition_dt,CenterX,CenterY,Value,Value_Estimated,Value_Est_Dt,Entered_Date,Usage,Cost,Property_Source,Purchase_Type,Parcel_Status
29063,"10124000060","1240000300","715","R","N","6TH","ST","AA",,5.8878503000000003e+05,1.0189093600000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29064,"10124000070","1240000700","713",,"N","6TH","ST","AA",,5.8881913000000000e+05,1.0188714500000000e+06,,0,,"03/11/91 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29065,"10124000110","1240001100","609",,,"LUCAS","AV","AA",,5.8872865000000002e+05,1.0188164300000001e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29066,"10124000120","1240001200","611",,,"LUCAS","AV","AA",,5.8870098999999999e+05,1.0188242000000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29067,"10124000130","1240001300","615",,,"LUCAS","AV","AA",,5.8867252000000002e+05,1.0188310800000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29072,"10141000013","1410000130","1009",,"N","BROADWAY",,"AA",,5.8941706999999995e+05,1.0197488700000000e+06,,0,,"10/20/88 00:00:00","Parking",0.0000000000000000e+00,"LCRA",,"Unavailable"
29073,"10151000020","1510000200","1130",,"S","7TH","ST","C","04/05/73 00:00:00",5.8689039000000001e+05,1.0131526000000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29106,"13831000500","38310005000","1188",,,"HODIAMONT","AV","C","08/29/02 00:00:00",5.5973244999999995e+05,1.0316942980000000e+06,,0,,"09/09/02 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29109,"10339000020","3390000200","908",,,"MONTGOMERY","ST","C",,5.8793425000000000e+05,1.0263075900000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Accepted Offer"
29110,"10339000070","3390000700","2607","H","N","9TH","ST","C","11/09/88 00:00:00",5.8806740000000002e+05,1.0262242800000000e+06,,0,,"10/14/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29111,"10339000080","3390000800","2607",,"N","9TH","ST","C","11/09/88 00:00:00",5.8807365000000002e+05,1.0262095900000000e+06,,0,,"10/14/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29112,"10339000090","3390000900","2605",,"N","9TH","ST","C","11/09/88 00:00:00",5.8808062000000000e+05,1.0261931600000000e+06,,0,,"10/14/88 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
29113,"10345000170","3450001700","917",,,"CHAMBERS","ST","C","07/31/81 00:00:00",5.8864375000000000e+05,1.0244423800000000e+06,0,1,,"08/04/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Option"
